CO  N  idle
23  1  88.80
32  2  78.70
51  3  80.07
52  4  72.76
60  5  70.82
79  6  60.70
70  7  61.60
88  8  65.21
101 9  62.11
100 10 65.17
110 11 59.64
115 12 60.67
104 13 60.16
113 14 59.44
124 15 55.78
114 16 52.70
128 17 55.96
127 18 56.57
136 19 53.70
144 20 51.92
146 21 52.91
147 22 50.84
138 23 53.60
146 24 51.84
154 25 51.01
159 26 51.62
163 27 49.72
170 28 49.10
156 29 48.72
163 30 46.59
150 31 45.75
158 32 45.15
137 33 37.37
143 34 44.25
146 35 44.02
147 36  1.36
92  37 36.13
117 38 20.69
78  39 36.12
137 40 41.62
142 41 39.62
130 42 41.24
130 43 16.89
132 44 31.48
135 45 26.70
147 46 27.51
145 47 33.07
143 48 23.44
141 49 24.46
100 50 13.30
